#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-10.5035122, 0.4074289, -29.4449674, -0.3735625, -0.5408220, -0.0074221, 0.7535964, -0.5250691, 0.5463675, -0.3346102, 0.8002951, -0.4951811, 0.7271804, -0.0663965, 0.1774170, 0.3947792, -0.1159555, 0.2974226, 1.7739923, 0.0010465, -0.9657206, -0.0514835, -1.8885014, 0.6619953, 1.6794296, -0.8305715, 0.7423361)    0    0   11.93027920  5 0.560 14.91585131
(-13.1063413, 8.2334728, -29.0480150, -0.5135396, 0.2184896, -0.2750433, -0.7828733, 1.0531705, 0.2598655, -0.1148042, 0.3863998, -0.2832195, 0.2613778, -0.5779505, -0.1987936, -0.6045981, 0.0292814, -0.0766440, 0.6421621, 0.7179143, -0.0542064, -0.4356693, -0.2142510, -0.2775524, 0.5703648, -0.3743784, 0.6978455)    0    0   7.85353160  6 2.840 9.94993502
(-18.0875562, -2.2178953, -26.6585355, -0.4569680, -0.2515590, -0.8530460, 0.0145188, -2.2737189, 0.4137488, -0.6669175, -0.1190651, 0.5775270, -0.1579927, -0.1619247, -0.4005987, 2.0611895, -0.3082932, -0.2637567, 1.3374637, 0.1214047, -0.4714671, 0.8400106, 0.4413919, -0.6779130, 1.2559296, 0.0864092, 0.4662078)    0    0   11.50760708  0 5.000 14.48180341
(-15.6308676, 2.8471570, -28.9677242, -0.7554122, 0.0215501, -0.6352562, -0.1591779, 0.2863666, 0.7545122, 0.6177864, -1.0709441, 1.0176285, 0.2941227, -0.1297174, 0.2157486, -0.8796470, 0.8246972, -0.1425039, -0.0492211, -0.2735277, 0.1397824, -0.3873322, -0.6271165, -0.4063606, 0.3659000, 0.8619855, 0.7211471)    0    0   9.58174360  6 0.320 12.17026654
(-18.9718761, 4.9764138, -30.6457558, -0.3734494, -0.6450869, -0.4076012, -0.5275033, 0.4387638, 0.2827328, 0.2068851, 0.2527968, 0.3607071, 0.7287884, 0.0761805, 0.6627189, -0.0494006, -0.4122601, 1.4455302, 0.5972082, 0.4443751, 0.0554593, 0.6560625, 1.0672179, 0.7314842, -1.5126797, 0.3636160, -1.2827825)    0    0   9.09446843  3 0.640 11.49492524
(-15.9817658, 2.9980759, -28.7520934, -0.7553133, 0.0211425, -0.6352351, -0.1597851, 0.1758130, 0.6481098, 0.4937225, -1.1112176, 0.9501422, 0.2855032, 0.0161912, 0.2660543, -0.8575966, 0.7088962, -0.0992928, -0.0849470, -0.3119221, 0.2438295, -0.5335007, -0.6135120, -0.4528072, 0.4072553, 0.8534816, 0.7628203)    0    0   8.98505970  19 0.000 11.27503099
(-16.4263275, 13.7222825, -18.4593433, -0.9550678, -0.2293831, 0.1840476, -0.0368157, 0.2591914, 1.0032565, 0.2502608, 0.4560520, -0.1349792, -0.3717394, -1.1454690, 0.5095880, 0.3745097, -0.9212310, -0.2020001, 0.0851372, -2.8845838, -0.2900250, 2.3988481, 0.1321897, -0.5005375, 1.2915389, 0.3633233, 2.6711309)    0    0   11.64814926  3 0.520 15.10253567
(-11.3950449, 0.4028610, -29.4245494, -0.3735216, -0.5408141, -0.0073719, 0.7536228, -0.5756783, 0.4629548, -0.2645325, 1.1851894, -0.2940326, 1.2061845, -0.1083884, 0.2882860, 0.4193484, 0.1172316, 0.2991399, 1.6449584, -0.0396497, -1.0015909, -0.0966615, -1.8195897, 0.6365266, 1.6154463, -0.7475766, 0.7329833)    0    0   11.87145298  5 0.240 14.92060216
(-10.7322153, -0.0375946, -29.6621225, -0.3735518, -0.5408198, -0.0074092, 0.7536034, -0.5324772, 0.5108153, -0.3231172, 0.9236697, -0.4324350, 0.8850052, -0.1190855, 0.2009983, 0.4762146, 0.0482734, 0.1648944, 1.5695712, -0.0061483, -1.1229913, -0.2496965, -1.8289143, 0.7760856, 1.5953864, -0.5615450, 0.9261047)    0    0   11.84648278  8 0.200 14.65959870
(-18.8510199, 5.3068806, -30.7270725, -0.3734488, -0.6450736, -0.4075975, -0.5275228, 0.4001597, 0.2029549, 0.2555750, 0.1381221, 0.3756135, 0.7765465, 0.1921000, 0.8398841, 0.0425579, -0.2784355, 1.6224688, 0.5003408, 0.4013398, -0.0575422, 0.6967068, 1.1888530, 0.5703813, -1.6476192, 0.2862805, -1.2255056)    0    0   8.74852448  3 0.560 10.61441678
(-16.6090498, 13.6061667, -18.6546597, -0.9550849, -0.2293355, 0.1840264, -0.0367749, 0.3232267, 1.1627858, 0.1073431, 0.5410078, -0.0159009, -0.2504821, -1.1894922, 0.5395666, 0.4028424, -0.9196818, -0.1473358, 0.0783341, -3.1879417, -0.3814166, 2.5838819, 0.0050080, -0.5459735, 1.3222384, 0.4310906, 3.0043055)    0    0   12.28865333  5 0.600 15.50338473
(-22.5615734, 4.3791319, -20.8747592, 0.5827567, -0.6417904, 0.4137704, -0.2780175, -0.1613645, 0.3245493, 0.3798910, 0.4684894, -0.2064376, -1.4372570, -0.2895747, -1.0587294, 0.2138996, -1.0753213, -0.1545258, -0.3416026, 0.4731935, 0.6837102, 0.8988948, -0.2455189, -0.0434031, -0.7711301, -0.1546347, 0.0134348)    0    0   14.36811340  2 5.000 17.87773233
